Country;Health Expenditure;Under-five mortality rate;Life expectancy at birth;Health index;Expected Years of Schooling;Mean years of schooling;Education index;GDP per capita;GNI per capita;Income index;Loss due to inequality in life expectancy;Loss due to inequality in education;Loss due to inequality in income;Inequality-adjusted education index;Inequality-adjusted life expectancy index;Inequality-adjusted income index;Inequality-adjusted HDI value;Female male-ratio with at least secondary education;Adolescent fertility rate;Female-male ratio in Labour force;Gender Inequality Index;female-male ratio in parliament;Maternal mortality ratio;POLPRIS;TORT;DOMMOV;SPEECH;NEW_RELFRE;WORKER;WECON;HDI
Switzerland;6,4;4;82,3;0,983;15,6;11;0,872;36954;39924;0,858;4,1;2;14,3;0,854;0,943;0,735;0,84;0,862;3,2;0,822;0,067;0,382;10;POLPRIS2;TORT1;DOMMOV2;SPEECH1;NEW_RELFRE1;WORKER1;WECON1;0,903
Japan;6,5;3;83,4;1;15,1;11,6;0,883;29692;32295;0,827;3,5;;;;0,965;;;0,972;6,8;0,668;0,123;0,157;6;POLPRIS2;TORT1;DOMMOV2;SPEECH2;NEW_RELFRE2;WORKER2;WECON1;0,901
Iceland;7,7;3;81,8;0,975;18;10,4;0,912;33980;29354;0,814;3;2,6;11,8;0,888;0,945;0,718;0,845;1,149;8,6;0,862;0,099;0,75;5;POLPRIS2;TORT2;DOMMOV2;SPEECH2;NEW_RELFRE2;WORKER2;WECON2;0,898
Korea (Republic of);3,5;5;80,6;0,956;16,9;11,6;0,934;25493;28230;0,808;4,3;25,5;18,4;0,696;0,916;0,659;0,749;0,866;6,3;0,696;0,111;0,173;18;POLPRIS0;TORT1;DOMMOV2;SPEECH1;NEW_RELFRE2;WORKER1;WECON2;0,897
Denmark;8,2;4;78,8;0,928;16,9;11,4;0,924;32252;34347;0,836;4,4;3,1;10,2;0,895;0,887;0,751;0,842;0,9;4,3;0,855;0,06;0,613;5;POLPRIS2;TORT2;DOMMOV2;SPEECH1;NEW_RELFRE1;WORKER1;WECON3;0,895
Israel;4,5;4;81,6;0,972;15,5;11,9;0,907;25474;25849;0,796;3,9;7,9;23,7;0,835;0,934;0,607;0,779;1,021;13,5;0,831;0,145;0,237;7;POLPRIS0;TORT0;DOMMOV0;SPEECH0;NEW_RELFRE1;WORKER1;WECON1;0,888
Belgium;7;5;80;0,947;16,1;10,9;0,882;32395;33357;0,832;4,4;6,5;11,7;0,825;0,905;0,735;0,819;0,948;8,2;0,768;0,114;0,625;5;POLPRIS2;TORT1;DOMMOV2;SPEECH1;NEW_RELFRE2;WORKER2;WECON1;0,886
Austria;7,7;4;80,9;0,96;15,3;10,8;0,858;34673;35719;0,842;4,2;2,4;15,1;0,838;0,92;0,715;0,82;0,784;7,1;0,781;0,131;0,394;5;POLPRIS2;TORT1;DOMMOV2;SPEECH1;NEW_RELFRE1;WORKER1;WECON2;0,885
France;8,7;4;81,5;0,971;16,1;10,6;0,87;29578;30462;0,819;4,2;9,1;13,9;0,791;0,93;0,705;0,804;0,941;4,9;0,812;0,106;0,25;8;POLPRIS2;TORT1;DOMMOV2;SPEECH2;NEW_RELFRE1;WORKER1;WECON2;0,884
Slovenia;5,6;3;79,3;0,936;16,9;11,6;0,933;24806;24914;0,79;4,1;3,1;8,5;0,904;0,898;0,723;0,837;0,72;3,8;0,807;0,175;0,121;18;POLPRIS2;TORT2;DOMMOV2;SPEECH1;NEW_RELFRE2;WORKER1;WECON1;0,884
Finland;6,1;3;80;0,946;16,8;10,3;0,877;30784;32438;0,828;3,9;2,1;10,6;0,858;0,909;0,74;0,833;1;7,1;0,879;0,075;0,667;8;POLPRIS1;TORT2;DOMMOV2;SPEECH2;NEW_RELFRE2;WORKER2;WECON2;0,882
